message,encoded_message
0000,00000000
0111,00011110
1110,00101100
1001,00110010
0101,01001010
0010,01010100
1011,01100110
1100,01111000
0011,10000110
0100,10011000
1101,10101010
1010,10110100
0110,11001100
0001,11010010
1000,11100000
1111,11111110
